instance,execution_time,initial_makespan,best_makespan,improvement,improvement_pct,num_machines,num_jobs,num_tools,folder
ins100_m=3_j=15_t=15_var=20,4.049346685409546,43.0,32.0,11.0,25.581395348837212,3,15,15,SSP-NPM-I
ins101_m=3_j=20_t=15_var=1,3.1844706535339355,57.0,49.0,8.0,14.035087719298245,3,20,15,SSP-NPM-I
ins102_m=3_j=20_t=15_var=2,3.1769745349884033,52.0,48.0,4.0,7.6923076923076925,3,20,15,SSP-NPM-I
ins103_m=3_j=20_t=15_var=3,3.126487970352173,60.0,54.0,6.0,10.0,3,20,15,SSP-NPM-I
ins104_m=3_j=20_t=15_var=4,3.112144947052002,58.0,46.0,12.0,20.689655172413794,3,20,15,SSP-NPM-I
ins105_m=3_j=20_t=15_var=5,3.1381101608276367,66.0,52.0,14.0,21.21212121212121,3,20,15,SSP-NPM-I
ins106_m=3_j=20_t=15_var=6,3.120513677597046,61.0,54.0,7.0,11.475409836065573,3,20,15,SSP-NPM-I
ins107_m=3_j=20_t=15_var=7,3.1624672412872314,64.0,54.0,10.0,15.625,3,20,15,SSP-NPM-I
ins108_m=3_j=20_t=15_var=8,3.125317335128784,51.0,34.0,17.0,33.33333333333333,3,20,15,SSP-NPM-I
ins109_m=3_j=20_t=15_var=9,3.160595655441284,59.0,49.0,10.0,16.94915254237288,3,20,15,SSP-NPM-I
ins10_m=2_j=10_t=10_var=10,2.00581431388855,34.0,29.0,5.0,14.705882352941178,2,10,10,SSP-NPM-I
ins110_m=3_j=20_t=15_var=10,3.126046657562256,55.0,46.0,9.0,16.363636363636363,3,20,15,SSP-NPM-I
ins111_m=3_j=20_t=15_var=11,3.132675886154175,63.0,54.0,9.0,14.285714285714285,3,20,15,SSP-NPM-I
ins112_m=3_j=20_t=15_var=12,3.1082868576049805,64.0,59.0,5.0,7.8125,3,20,15,SSP-NPM-I
ins113_m=3_j=20_t=15_var=13,3.156503677368164,60.0,54.0,6.0,10.0,3,20,15,SSP-NPM-I
ins114_m=3_j=20_t=15_var=14,3.1713812351226807,63.0,51.0,12.0,19.047619047619047,3,20,15,SSP-NPM-I
ins115_m=3_j=20_t=15_var=15,3.1211702823638916,55.0,44.0,11.0,20.0,3,20,15,SSP-NPM-I
ins116_m=3_j=20_t=15_var=16,3.1149935722351074,63.0,51.0,12.0,19.047619047619047,3,20,15,SSP-NPM-I
ins117_m=3_j=20_t=15_var=17,3.1306045055389404,56.0,46.0,10.0,17.857142857142858,3,20,15,SSP-NPM-I
ins118_m=3_j=20_t=15_var=18,3.1193289756774902,63.0,55.0,8.0,12.698412698412698,3,20,15,SSP-NPM-I
ins119_m=3_j=20_t=15_var=19,3.131587505340576,55.0,51.0,4.0,7.2727272727272725,3,20,15,SSP-NPM-I
ins11_m=2_j=10_t=10_var=11,2.012423515319824,36.0,33.0,3.0,8.333333333333332,2,10,10,SSP-NPM-I
ins120_m=3_j=20_t=15_var=20,3.105689764022827,67.0,59.0,8.0,11.940298507462686,3,20,15,SSP-NPM-I
ins121_m=3_j=15_t=20_var=1,2.75805401802063,56.0,45.0,11.0,19.642857142857142,3,15,20,SSP-NPM-I
ins122_m=3_j=15_t=20_var=2,2.7841029167175293,43.0,33.0,10.0,23.25581395348837,3,15,20,SSP-NPM-I
ins123_m=3_j=15_t=20_var=3,2.837292432785034,41.0,37.0,4.0,9.75609756097561,3,15,20,SSP-NPM-I
ins124_m=3_j=15_t=20_var=4,2.7434213161468506,43.0,38.0,5.0,11.627906976744185,3,15,20,SSP-NPM-I
ins125_m=3_j=15_t=20_var=5,2.740527391433716,47.0,37.0,10.0,21.27659574468085,3,15,20,SSP-NPM-I
ins126_m=3_j=15_t=20_var=6,2.758497714996338,47.0,40.0,7.0,14.893617021276595,3,15,20,SSP-NPM-I
ins127_m=3_j=15_t=20_var=7,2.739170789718628,45.0,43.0,2.0,4.444444444444445,3,15,20,SSP-NPM-I
ins128_m=3_j=15_t=20_var=8,2.7312285900115967,51.0,45.0,6.0,11.76470588235294,3,15,20,SSP-NPM-I
ins129_m=3_j=15_t=20_var=9,2.7656521797180176,41.0,38.0,3.0,7.317073170731707,3,15,20,SSP-NPM-I
ins12_m=2_j=10_t=10_var=12,2.0252013206481934,42.0,36.0,6.0,14.285714285714285,2,10,10,SSP-NPM-I
ins130_m=3_j=15_t=20_var=10,2.7877628803253174,49.0,42.0,7.0,14.285714285714285,3,15,20,SSP-NPM-I
ins131_m=3_j=15_t=20_var=11,2.7521424293518066,51.0,46.0,5.0,9.803921568627452,3,15,20,SSP-NPM-I
ins132_m=3_j=15_t=20_var=12,2.727290153503418,41.0,33.0,8.0,19.51219512195122,3,15,20,SSP-NPM-I
ins133_m=3_j=15_t=20_var=13,2.7755513191223145,43.0,34.0,9.0,20.930232558139537,3,15,20,SSP-NPM-I
ins134_m=3_j=15_t=20_var=14,2.815854072570801,53.0,43.0,10.0,18.867924528301888,3,15,20,SSP-NPM-I
ins135_m=3_j=15_t=20_var=15,2.7348530292510986,48.0,42.0,6.0,12.5,3,15,20,SSP-NPM-I
ins136_m=3_j=15_t=20_var=16,2.7355144023895264,49.0,40.0,9.0,18.367346938775512,3,15,20,SSP-NPM-I
ins137_m=3_j=15_t=20_var=17,2.7191355228424072,42.0,38.0,4.0,9.523809523809524,3,15,20,SSP-NPM-I
ins138_m=3_j=15_t=20_var=18,2.7397961616516113,47.0,36.0,11.0,23.404255319148938,3,15,20,SSP-NPM-I
ins139_m=3_j=15_t=20_var=19,2.7155497074127197,54.0,47.0,7.0,12.962962962962962,3,15,20,SSP-NPM-I
ins13_m=2_j=10_t=10_var=13,2.0004727840423584,32.0,30.0,2.0,6.25,2,10,10,SSP-NPM-I
ins140_m=3_j=15_t=20_var=20,2.742558002471924,43.0,40.0,3.0,6.976744186046512,3,15,20,SSP-NPM-I
ins141_m=3_j=20_t=20_var=1,3.1866090297698975,77.0,61.0,16.0,20.77922077922078,3,20,20,SSP-NPM-I
ins142_m=3_j=20_t=20_var=2,3.178926467895508,75.0,64.0,11.0,14.666666666666666,3,20,20,SSP-NPM-I
ins143_m=3_j=20_t=20_var=3,3.590442180633545,73.0,57.0,16.0,21.91780821917808,3,20,20,SSP-NPM-I
ins144_m=3_j=20_t=20_var=4,3.7069859504699707,71.0,60.0,11.0,15.492957746478872,3,20,20,SSP-NPM-I
ins145_m=3_j=20_t=20_var=5,4.001292705535889,75.0,63.0,12.0,16.0,3,20,20,SSP-NPM-I
ins146_m=3_j=20_t=20_var=6,3.6446170806884766,79.0,58.0,21.0,26.582278481012654,3,20,20,SSP-NPM-I
ins147_m=3_j=20_t=20_var=7,3.21722674369812,68.0,60.0,8.0,11.76470588235294,3,20,20,SSP-NPM-I
ins148_m=3_j=20_t=20_var=8,3.2449803352355957,69.0,56.0,13.0,18.84057971014493,3,20,20,SSP-NPM-I
ins149_m=3_j=20_t=20_var=9,3.134535551071167,78.0,62.0,16.0,20.51282051282051,3,20,20,SSP-NPM-I
ins14_m=2_j=10_t=10_var=14,1.9978129863739014,39.0,36.0,3.0,7.6923076923076925,2,10,10,SSP-NPM-I
ins150_m=3_j=20_t=20_var=10,3.157360315322876,77.0,63.0,14.0,18.181818181818183,3,20,20,SSP-NPM-I
ins151_m=3_j=20_t=20_var=11,3.168344259262085,72.0,58.0,14.0,19.444444444444446,3,20,20,SSP-NPM-I
ins152_m=3_j=20_t=20_var=12,3.185253620147705,64.0,52.0,12.0,18.75,3,20,20,SSP-NPM-I
ins153_m=3_j=20_t=20_var=13,3.183673620223999,73.0,58.0,15.0,20.54794520547945,3,20,20,SSP-NPM-I
ins154_m=3_j=20_t=20_var=14,3.216193914413452,72.0,65.0,7.0,9.722222222222223,3,20,20,SSP-NPM-I
ins155_m=3_j=20_t=20_var=15,3.150803804397583,66.0,50.0,16.0,24.242424242424242,3,20,20,SSP-NPM-I
ins156_m=3_j=20_t=20_var=16,3.1720056533813477,76.0,61.0,15.0,19.736842105263158,3,20,20,SSP-NPM-I
ins157_m=3_j=20_t=20_var=17,3.1664319038391113,64.0,54.0,10.0,15.625,3,20,20,SSP-NPM-I
ins158_m=3_j=20_t=20_var=18,3.169485569000244,70.0,66.0,4.0,5.714285714285714,3,20,20,SSP-NPM-I
ins159_m=3_j=20_t=20_var=19,3.1763181686401367,76.0,61.0,15.0,19.736842105263158,3,20,20,SSP-NPM-I
ins15_m=2_j=10_t=10_var=15,1.9807493686676025,37.0,37.0,0.0,0.0,2,10,10,SSP-NPM-I
ins160_m=3_j=20_t=20_var=20,3.1769204139709473,78.0,55.0,23.0,29.48717948717949,3,20,20,SSP-NPM-I
ins16_m=2_j=10_t=10_var=16,1.998769760131836,35.0,31.0,4.0,11.428571428571429,2,10,10,SSP-NPM-I
ins17_m=2_j=10_t=10_var=17,2.004462718963623,38.0,31.0,7.0,18.421052631578945,2,10,10,SSP-NPM-I
ins18_m=2_j=10_t=10_var=18,1.9980320930480957,30.0,22.0,8.0,26.666666666666668,2,10,10,SSP-NPM-I
ins19_m=2_j=10_t=10_var=19,2.023375988006592,36.0,32.0,4.0,11.11111111111111,2,10,10,SSP-NPM-I
ins1_m=2_j=10_t=10_var=1,1.9938228130340576,40.0,34.0,6.0,15.0,2,10,10,SSP-NPM-I
ins20_m=2_j=10_t=10_var=20,2.087059259414673,37.0,29.0,8.0,21.62162162162162,2,10,10,SSP-NPM-I
ins21_m=2_j=15_t=10_var=1,2.2887964248657227,55.0,46.0,9.0,16.363636363636363,2,15,10,SSP-NPM-I
ins22_m=2_j=15_t=10_var=2,2.2916853427886963,64.0,50.0,14.0,21.875,2,15,10,SSP-NPM-I
ins23_m=2_j=15_t=10_var=3,2.3021905422210693,60.0,41.0,19.0,31.666666666666664,2,15,10,SSP-NPM-I
ins24_m=2_j=15_t=10_var=4,2.302858829498291,56.0,49.0,7.0,12.5,2,15,10,SSP-NPM-I
ins25_m=2_j=15_t=10_var=5,2.2962496280670166,61.0,50.0,11.0,18.0327868852459,2,15,10,SSP-NPM-I
ins26_m=2_j=15_t=10_var=6,2.2925422191619873,63.0,56.0,7.0,11.11111111111111,2,15,10,SSP-NPM-I
ins27_m=2_j=15_t=10_var=7,2.2846932411193848,58.0,46.0,12.0,20.689655172413794,2,15,10,SSP-NPM-I
ins28_m=2_j=15_t=10_var=8,2.268064022064209,49.0,39.0,10.0,20.408163265306122,2,15,10,SSP-NPM-I
ins29_m=2_j=15_t=10_var=9,2.32452130317688,54.0,46.0,8.0,14.814814814814813,2,15,10,SSP-NPM-I
ins2_m=2_j=10_t=10_var=2,2.000993013381958,36.0,34.0,2.0,5.555555555555555,2,10,10,SSP-NPM-I
ins30_m=2_j=15_t=10_var=10,2.3375728130340576,70.0,66.0,4.0,5.714285714285714,2,15,10,SSP-NPM-I
ins31_m=2_j=15_t=10_var=11,2.312173366546631,60.0,53.0,7.0,11.666666666666666,2,15,10,SSP-NPM-I
ins32_m=2_j=15_t=10_var=12,2.294015645980835,63.0,46.0,17.0,26.984126984126984,2,15,10,SSP-NPM-I
ins33_m=2_j=15_t=10_var=13,2.296663999557495,59.0,50.0,9.0,15.254237288135593,2,15,10,SSP-NPM-I
ins34_m=2_j=15_t=10_var=14,2.286543607711792,66.0,46.0,20.0,30.303030303030305,2,15,10,SSP-NPM-I
ins35_m=2_j=15_t=10_var=15,2.3084354400634766,66.0,58.0,8.0,12.121212121212121,2,15,10,SSP-NPM-I
ins36_m=2_j=15_t=10_var=16,2.3140511512756348,60.0,48.0,12.0,20.0,2,15,10,SSP-NPM-I
ins37_m=2_j=15_t=10_var=17,2.26727032661438,64.0,52.0,12.0,18.75,2,15,10,SSP-NPM-I
ins38_m=2_j=15_t=10_var=18,2.318166732788086,66.0,58.0,8.0,12.121212121212121,2,15,10,SSP-NPM-I
ins39_m=2_j=15_t=10_var=19,2.2689833641052246,53.0,41.0,12.0,22.641509433962266,2,15,10,SSP-NPM-I
ins3_m=2_j=10_t=10_var=3,1.9979491233825684,35.0,26.0,9.0,25.71428571428571,2,10,10,SSP-NPM-I
ins40_m=2_j=15_t=10_var=20,2.321406126022339,74.0,63.0,11.0,14.864864864864865,2,15,10,SSP-NPM-I
ins41_m=2_j=10_t=15_var=1,2.032805919647217,49.0,39.0,10.0,20.408163265306122,2,10,15,SSP-NPM-I
ins42_m=2_j=10_t=15_var=2,2.041405200958252,47.0,36.0,11.0,23.404255319148938,2,10,15,SSP-NPM-I
ins43_m=2_j=10_t=15_var=3,2.0938234329223633,42.0,38.0,4.0,9.523809523809524,2,10,15,SSP-NPM-I
ins44_m=2_j=10_t=15_var=4,2.031421661376953,45.0,35.0,10.0,22.22222222222222,2,10,15,SSP-NPM-I
ins45_m=2_j=10_t=15_var=5,2.0549259185791016,41.0,41.0,0.0,0.0,2,10,15,SSP-NPM-I
ins46_m=2_j=10_t=15_var=6,2.007981061935425,43.0,39.0,4.0,9.30232558139535,2,10,15,SSP-NPM-I
ins47_m=2_j=10_t=15_var=7,2.0539731979370117,38.0,35.0,3.0,7.894736842105263,2,10,15,SSP-NPM-I
ins48_m=2_j=10_t=15_var=8,2.050732135772705,44.0,44.0,0.0,0.0,2,10,15,SSP-NPM-I
ins49_m=2_j=10_t=15_var=9,2.0311391353607178,43.0,38.0,5.0,11.627906976744185,2,10,15,SSP-NPM-I
ins4_m=2_j=10_t=10_var=4,2.0315990447998047,32.0,28.0,4.0,12.5,2,10,10,SSP-NPM-I
ins50_m=2_j=10_t=15_var=10,2.043846607208252,42.0,32.0,10.0,23.809523809523807,2,10,15,SSP-NPM-I
ins51_m=2_j=10_t=15_var=11,2.0490024089813232,44.0,38.0,6.0,13.636363636363635,2,10,15,SSP-NPM-I
ins52_m=2_j=10_t=15_var=12,2.069446563720703,42.0,35.0,7.0,16.666666666666664,2,10,15,SSP-NPM-I
ins53_m=2_j=10_t=15_var=13,2.040710210800171,41.0,35.0,6.0,14.634146341463413,2,10,15,SSP-NPM-I
ins54_m=2_j=10_t=15_var=14,2.022380828857422,47.0,41.0,6.0,12.76595744680851,2,10,15,SSP-NPM-I
ins55_m=2_j=10_t=15_var=15,2.039415121078491,46.0,40.0,6.0,13.043478260869565,2,10,15,SSP-NPM-I
ins56_m=2_j=10_t=15_var=16,1.9995129108428955,43.0,37.0,6.0,13.953488372093023,2,10,15,SSP-NPM-I
ins57_m=2_j=10_t=15_var=17,2.0042102336883545,35.0,27.0,8.0,22.857142857142858,2,10,15,SSP-NPM-I
ins58_m=2_j=10_t=15_var=18,2.0442051887512207,45.0,40.0,5.0,11.11111111111111,2,10,15,SSP-NPM-I
ins59_m=2_j=10_t=15_var=19,2.011627674102783,43.0,39.0,4.0,9.30232558139535,2,10,15,SSP-NPM-I
ins5_m=2_j=10_t=10_var=5,1.9750182628631592,29.0,19.0,10.0,34.48275862068966,2,10,10,SSP-NPM-I
ins60_m=2_j=10_t=15_var=20,2.0294556617736816,50.0,40.0,10.0,20.0,2,10,15,SSP-NPM-I
ins61_m=2_j=15_t=15_var=1,2.33713960647583,71.0,54.0,17.0,23.943661971830984,2,15,15,SSP-NPM-I
ins62_m=2_j=15_t=15_var=2,2.3059582710266113,63.0,57.0,6.0,9.523809523809524,2,15,15,SSP-NPM-I
ins63_m=2_j=15_t=15_var=3,2.3184726238250732,60.0,54.0,6.0,10.0,2,15,15,SSP-NPM-I
ins64_m=2_j=15_t=15_var=4,2.3360581398010254,74.0,63.0,11.0,14.864864864864865,2,15,15,SSP-NPM-I
ins65_m=2_j=15_t=15_var=5,2.3387084007263184,66.0,58.0,8.0,12.121212121212121,2,15,15,SSP-NPM-I
ins66_m=2_j=15_t=15_var=6,2.3661956787109375,72.0,60.0,12.0,16.666666666666664,2,15,15,SSP-NPM-I
ins67_m=2_j=15_t=15_var=7,2.3443760871887207,84.0,71.0,13.0,15.476190476190476,2,15,15,SSP-NPM-I
ins68_m=2_j=15_t=15_var=8,2.3422677516937256,74.0,64.0,10.0,13.513513513513514,2,15,15,SSP-NPM-I
ins69_m=2_j=15_t=15_var=9,2.341449737548828,71.0,56.0,15.0,21.12676056338028,2,15,15,SSP-NPM-I
ins6_m=2_j=10_t=10_var=6,1.9825878143310547,29.0,22.0,7.0,24.137931034482758,2,10,10,SSP-NPM-I
