instance,generation,min,avg,max,std,execution_time,best_makespan
ins30_m=2_j=15_t=10_var=10,0,70.0,89.64,111.0,7.042045157480885,,
ins30_m=2_j=15_t=10_var=10,1,70.0,83.8,96.0,5.136146415358503,,
ins30_m=2_j=15_t=10_var=10,2,70.0,79.5,90.0,3.9382737335030433,,
ins30_m=2_j=15_t=10_var=10,3,70.0,76.79,87.0,2.59728704613102,,
ins30_m=2_j=15_t=10_var=10,4,70.0,75.44,89.0,3.1853414259699067,,
ins30_m=2_j=15_t=10_var=10,5,70.0,73.52,81.0,2.4919069003476033,,
ins30_m=2_j=15_t=10_var=10,6,70.0,72.16,81.0,2.7521627858831317,,
ins30_m=2_j=15_t=10_var=10,7,70.0,70.94,78.0,1.8320480343047776,,
ins30_m=2_j=15_t=10_var=10,8,70.0,70.42,76.0,1.3577923257994944,,
ins30_m=2_j=15_t=10_var=10,9,70.0,70.44,78.0,1.3139254164525473,,
ins30_m=2_j=15_t=10_var=10,10,70.0,70.32,78.0,1.4344336861632885,,
ins30_m=2_j=15_t=10_var=10,11,70.0,70.54,78.0,1.6698502926909347,,
ins30_m=2_j=15_t=10_var=10,12,70.0,70.22,78.0,1.0543244282477762,,
ins30_m=2_j=15_t=10_var=10,13,70.0,70.68,78.0,1.7937669859822931,,
ins30_m=2_j=15_t=10_var=10,14,70.0,70.28,76.0,1.0590561835898982,,
ins30_m=2_j=15_t=10_var=10,15,70.0,70.44,76.0,1.3734627770711516,,
ins30_m=2_j=15_t=10_var=10,16,70.0,70.52,78.0,1.7116074316267733,,
ins30_m=2_j=15_t=10_var=10,17,70.0,70.34,78.0,1.2978443666326096,,
ins30_m=2_j=15_t=10_var=10,18,70.0,70.42,76.0,1.3052202879207784,,
ins30_m=2_j=15_t=10_var=10,19,70.0,70.24,78.0,1.1412274094149688,,
ins30_m=2_j=15_t=10_var=10,20,70.0,70.44,78.0,1.4305243793798135,,
ins30_m=2_j=15_t=10_var=10,21,70.0,70.44,78.0,1.512084653714864,,
ins30_m=2_j=15_t=10_var=10,22,70.0,70.28,74.0,0.9389355675444402,,
ins30_m=2_j=15_t=10_var=10,23,70.0,70.34,76.0,1.168075340035907,,
ins30_m=2_j=15_t=10_var=10,24,70.0,70.3,76.0,1.1445523142259595,,
ins30_m=2_j=15_t=10_var=10,25,70.0,70.56,82.0,1.856448221739567,,
ins30_m=2_j=15_t=10_var=10,26,70.0,70.36,78.0,1.3380582946942183,,
ins30_m=2_j=15_t=10_var=10,27,70.0,70.24,78.0,1.273734666247253,,
ins30_m=2_j=15_t=10_var=10,28,70.0,70.36,78.0,1.4527215837867902,,
ins30_m=2_j=15_t=10_var=10,29,70.0,70.26,78.0,1.1542963224406464,,
ins30_m=2_j=15_t=10_var=10,30,70.0,70.3,78.0,1.2449899597988732,,
ins30_m=2_j=15_t=10_var=10,31,70.0,70.48,76.0,1.5263027222671128,,
ins30_m=2_j=15_t=10_var=10,32,70.0,70.58,86.0,2.470546498246896,,
ins30_m=2_j=15_t=10_var=10,33,70.0,70.36,76.0,1.1447270417003348,,
ins30_m=2_j=15_t=10_var=10,34,70.0,70.44,78.0,1.538310761842353,,
ins30_m=2_j=15_t=10_var=10,35,70.0,70.32,78.0,1.3181805642627265,,
ins30_m=2_j=15_t=10_var=10,36,70.0,70.22,76.0,0.8897190567814092,,
ins30_m=2_j=15_t=10_var=10,37,70.0,70.46,78.0,1.5454449197561202,,
ins30_m=2_j=15_t=10_var=10,38,70.0,70.34,76.0,1.2666491226855208,,
ins30_m=2_j=15_t=10_var=10,39,70.0,70.26,78.0,1.1191067866830224,,
ins30_m=2_j=15_t=10_var=10,40,70.0,70.44,76.0,1.3139254164525473,,
ins30_m=2_j=15_t=10_var=10,41,70.0,70.4,78.0,1.4966629547095762,,
ins30_m=2_j=15_t=10_var=10,42,70.0,70.24,76.0,0.9068627239003708,,
ins30_m=2_j=15_t=10_var=10,43,70.0,70.32,76.0,1.1906300852909772,,
ins30_m=2_j=15_t=10_var=10,44,70.0,70.26,76.0,1.1191067866830227,,
ins30_m=2_j=15_t=10_var=10,45,70.0,70.34,76.0,1.168075340035907,,
ins30_m=2_j=15_t=10_var=10,46,70.0,70.48,86.0,1.9620397549489155,,
ins30_m=2_j=15_t=10_var=10,47,70.0,70.24,76.0,0.8616263691415207,,
ins30_m=2_j=15_t=10_var=10,48,70.0,70.28,76.0,1.1320777358467926,,
ins30_m=2_j=15_t=10_var=10,49,70.0,70.38,78.0,1.3768079023596573,,
ins30_m=2_j=15_t=10_var=10,50,70.0,70.46,78.0,1.6457217261736565,,
ins30_m=2_j=15_t=10_var=10,51,70.0,70.3,78.0,1.212435565298214,,
ins30_m=2_j=15_t=10_var=10,52,70.0,70.54,78.0,1.4927826365549675,,
ins30_m=2_j=15_t=10_var=10,53,70.0,70.26,76.0,0.9656086163658648,,
ins30_m=2_j=15_t=10_var=10,54,70.0,70.42,76.0,1.3651373557265216,,
ins30_m=2_j=15_t=10_var=10,55,70.0,70.22,76.0,0.889719056781409,,
ins30_m=2_j=15_t=10_var=10,56,70.0,70.3,78.0,1.2449899597988732,,
ins30_m=2_j=15_t=10_var=10,57,70.0,70.18,76.0,0.8529947244854448,,
ins30_m=2_j=15_t=10_var=10,58,70.0,70.34,78.0,1.2978443666326096,,
ins30_m=2_j=15_t=10_var=10,59,70.0,70.3,78.0,1.1789826122551597,,
ins30_m=2_j=15_t=10_var=10,60,70.0,70.4,78.0,1.4422205101855956,,
ins30_m=2_j=15_t=10_var=10,61,70.0,70.36,76.0,1.2451505933018705,,
ins30_m=2_j=15_t=10_var=10,62,70.0,70.44,80.0,1.6144348856488453,,
ins30_m=2_j=15_t=10_var=10,63,70.0,70.58,78.0,1.656381598545456,,
ins30_m=2_j=15_t=10_var=10,64,70.0,70.2,76.0,0.9591663046625439,,
ins30_m=2_j=15_t=10_var=10,65,70.0,70.38,78.0,1.3174217244299564,,
ins30_m=2_j=15_t=10_var=10,66,68.0,70.34,78.0,1.4981321704042003,,
ins30_m=2_j=15_t=10_var=10,67,68.0,70.24,78.0,1.3646977687385589,,
ins30_m=2_j=15_t=10_var=10,68,68.0,70.02,74.0,0.7743384273042375,,
ins30_m=2_j=15_t=10_var=10,69,68.0,69.9,78.0,1.3674794331177345,,
ins30_m=2_j=15_t=10_var=10,70,68.0,69.48,78.0,1.3746272221951665,,
ins30_m=2_j=15_t=10_var=10,71,68.0,69.12,78.0,2.122639865827456,,
ins30_m=2_j=15_t=10_var=10,72,68.0,68.32,78.0,1.190630085290977,,
ins30_m=2_j=15_t=10_var=10,73,68.0,68.44,76.0,1.458218090684655,,
ins30_m=2_j=15_t=10_var=10,74,68.0,68.28,78.0,1.26554336156451,,
ins30_m=2_j=15_t=10_var=10,75,68.0,68.44,74.0,1.2515590277729614,,
ins30_m=2_j=15_t=10_var=10,76,68.0,68.5,78.0,1.752141546793523,,
ins30_m=2_j=15_t=10_var=10,77,68.0,68.38,78.0,1.5151237573214933,,
ins30_m=2_j=15_t=10_var=10,78,68.0,68.82,76.0,2.1183956193308173,,
ins30_m=2_j=15_t=10_var=10,79,68.0,68.44,78.0,1.5894653189044423,,
ins30_m=2_j=15_t=10_var=10,80,68.0,68.34,74.0,1.1680753400359067,,
ins30_m=2_j=15_t=10_var=10,81,68.0,68.3,78.0,1.2449899597988734,,
ins30_m=2_j=15_t=10_var=10,82,68.0,68.58,78.0,1.9035755829490986,,
ins30_m=2_j=15_t=10_var=10,83,68.0,68.38,76.0,1.4613692209705251,,
ins30_m=2_j=15_t=10_var=10,84,68.0,68.3,76.0,1.3964240043768938,,
ins30_m=2_j=15_t=10_var=10,85,68.0,68.46,78.0,1.7170905625505022,,
ins30_m=2_j=15_t=10_var=10,86,68.0,68.46,78.0,1.6457217261736563,,
ins30_m=2_j=15_t=10_var=10,87,68.0,68.52,76.0,1.6880758276807353,,
ins30_m=2_j=15_t=10_var=10,88,68.0,68.66,78.0,1.8985257438338834,,
ins30_m=2_j=15_t=10_var=10,89,68.0,68.2,76.0,1.077032961426901,,
ins30_m=2_j=15_t=10_var=10,90,68.0,68.36,76.0,1.3965672200076873,,
ins30_m=2_j=15_t=10_var=10,91,68.0,68.38,78.0,1.5670354175959136,,
ins30_m=2_j=15_t=10_var=10,92,68.0,68.36,76.0,1.2768711759609894,,
ins30_m=2_j=15_t=10_var=10,93,68.0,68.4,78.0,1.523154621172781,,
ins30_m=2_j=15_t=10_var=10,94,68.0,68.36,76.0,1.3078226179417451,,
ins30_m=2_j=15_t=10_var=10,95,68.0,68.46,78.0,1.6698502926909344,,
ins30_m=2_j=15_t=10_var=10,96,68.0,68.18,76.0,1.1347246362003427,,
ins30_m=2_j=15_t=10_var=10,97,68.0,68.54,76.0,1.6936351437071686,,
ins30_m=2_j=15_t=10_var=10,98,68.0,68.5,78.0,1.6340134638368191,,
ins30_m=2_j=15_t=10_var=10,99,68.0,68.56,78.0,1.7453939383417145,,
ins30_m=2_j=15_t=10_var=10,100,68.0,68.68,78.0,2.158147353634593,,
ins30_m=2_j=15_t=10_var=10,101,68.0,68.42,78.0,1.6320539206778677,,
ins30_m=2_j=15_t=10_var=10,102,68.0,68.42,76.0,1.5567915724335097,,
ins30_m=2_j=15_t=10_var=10,103,68.0,68.34,74.0,1.0603772913449248,,
ins30_m=2_j=15_t=10_var=10,104,68.0,68.4,76.0,1.4966629547095762,,
ins30_m=2_j=15_t=10_var=10,105,68.0,68.4,78.0,1.6248076809271927,,
ins30_m=2_j=15_t=10_var=10,106,68.0,68.36,76.0,1.179152237838694,,
ins30_m=2_j=15_t=10_var=10,107,68.0,68.44,76.0,1.4022838514366482,,
ins30_m=2_j=15_t=10_var=10,108,68.0,68.4,78.0,1.5231546211727818,,
ins30_m=2_j=15_t=10_var=10,109,68.0,68.24,74.0,0.9068627239003708,,
ins30_m=2_j=15_t=10_var=10,110,68.0,68.32,74.0,1.2560254774486064,,
ins30_m=2_j=15_t=10_var=10,111,68.0,68.48,78.0,1.7690675509996785,,
ins30_m=2_j=15_t=10_var=10,112,68.0,68.22,76.0,1.0543244282477764,,
ins30_m=2_j=15_t=10_var=10,113,68.0,68.46,74.0,1.3521834195108295,,
ins30_m=2_j=15_t=10_var=10,114,68.0,68.5,78.0,1.797220075561143,,
ins30_m=2_j=15_t=10_var=10,115,68.0,68.1,72.0,0.5916079783099616,,
ins30_m=2_j=15_t=10_var=10,116,68.0,68.28,76.0,1.2655433615645098,,
ins30_m=2_j=15_t=10_var=10,117,68.0,68.4,76.0,1.4696938456699067,,
ins30_m=2_j=15_t=10_var=10,118,68.0,68.62,78.0,1.9327700328802702,,
ins30_m=2_j=15_t=10_var=10,119,68.0,68.22,74.0,0.9335952013587047,,
ins30_m=2_j=15_t=10_var=10,120,68.0,68.38,78.0,1.4613692209705251,,
ins30_m=2_j=15_t=10_var=10,121,68.0,68.38,78.0,1.5412981541544775,,
ins30_m=2_j=15_t=10_var=10,122,68.0,68.64,78.0,1.9158288023724879,,
ins30_m=2_j=15_t=10_var=10,123,68.0,68.54,78.0,1.7402298698735177,,
ins30_m=2_j=15_t=10_var=10,124,68.0,68.62,78.0,1.9737274381231062,,
