instance,execution_time,initial_makespan,best_makespan,improvement,improvement_pct,num_machines,num_jobs,num_tools,folder
ins161_m=4_j=40_t=60_sw=l_dens=s_var=1,5.813580274581909,156.0,128.0,28.0,17.94871794871795,4,40,60,SSP-NPM-II
ins162_m=4_j=40_t=60_sw=l_dens=s_var=2,5.800786733627319,176.0,166.0,10.0,5.681818181818182,4,40,60,SSP-NPM-II
ins163_m=4_j=40_t=60_sw=l_dens=s_var=3,5.846031427383423,162.0,138.0,24.0,14.814814814814813,4,40,60,SSP-NPM-II
ins164_m=4_j=40_t=60_sw=l_dens=s_var=4,5.950730800628662,169.0,161.0,8.0,4.733727810650888,4,40,60,SSP-NPM-II
ins165_m=4_j=40_t=60_sw=l_dens=s_var=5,5.862195014953613,151.0,118.0,33.0,21.85430463576159,4,40,60,SSP-NPM-II
ins166_m=4_j=40_t=60_sw=l_dens=s_var=6,5.840921401977539,166.0,130.0,36.0,21.686746987951807,4,40,60,SSP-NPM-II
ins167_m=4_j=40_t=60_sw=l_dens=s_var=7,5.8433027267456055,151.0,125.0,26.0,17.218543046357617,4,40,60,SSP-NPM-II
ins168_m=4_j=40_t=60_sw=l_dens=s_var=8,5.852473020553589,199.0,154.0,45.0,22.613065326633166,4,40,60,SSP-NPM-II
ins169_m=4_j=40_t=60_sw=l_dens=s_var=9,5.956505298614502,172.0,138.0,34.0,19.767441860465116,4,40,60,SSP-NPM-II
ins170_m=4_j=40_t=60_sw=l_dens=s_var=10,5.855535507202148,175.0,149.0,26.0,14.857142857142858,4,40,60,SSP-NPM-II
ins171_m=4_j=40_t=60_sw=l_dens=s_var=11,5.902339220046997,182.0,152.0,30.0,16.483516483516482,4,40,60,SSP-NPM-II
ins172_m=4_j=40_t=60_sw=l_dens=s_var=12,5.805051803588867,169.0,147.0,22.0,13.017751479289942,4,40,60,SSP-NPM-II
ins173_m=4_j=40_t=60_sw=l_dens=s_var=13,5.891456127166748,185.0,157.0,28.0,15.135135135135137,4,40,60,SSP-NPM-II
ins174_m=4_j=40_t=60_sw=l_dens=s_var=14,5.928921461105347,188.0,170.0,18.0,9.574468085106384,4,40,60,SSP-NPM-II
ins175_m=4_j=40_t=60_sw=l_dens=s_var=15,5.871504306793213,156.0,137.0,19.0,12.179487179487179,4,40,60,SSP-NPM-II
ins176_m=4_j=40_t=60_sw=l_dens=s_var=16,5.862137794494629,177.0,151.0,26.0,14.689265536723164,4,40,60,SSP-NPM-II
ins177_m=4_j=40_t=60_sw=l_dens=s_var=17,5.8666672706604,162.0,134.0,28.0,17.28395061728395,4,40,60,SSP-NPM-II
ins178_m=4_j=40_t=60_sw=l_dens=s_var=18,5.771487236022949,155.0,121.0,34.0,21.935483870967744,4,40,60,SSP-NPM-II
ins179_m=4_j=40_t=60_sw=l_dens=s_var=19,5.823889970779419,169.0,147.0,22.0,13.017751479289942,4,40,60,SSP-NPM-II
ins180_m=4_j=40_t=60_sw=l_dens=s_var=20,5.8600990772247314,180.0,146.0,34.0,18.88888888888889,4,40,60,SSP-NPM-II
ins181_m=4_j=40_t=60_sw=l_dens=d_var=1,5.967597723007202,607.0,571.0,36.0,5.930807248764415,4,40,60,SSP-NPM-II
ins182_m=4_j=40_t=60_sw=l_dens=d_var=2,5.967566967010498,481.0,433.0,48.0,9.97920997920998,4,40,60,SSP-NPM-II
ins183_m=4_j=40_t=60_sw=l_dens=d_var=3,5.96211051940918,575.0,515.0,60.0,10.434782608695652,4,40,60,SSP-NPM-II
ins184_m=4_j=40_t=60_sw=l_dens=d_var=4,5.994050025939941,525.0,479.0,46.0,8.761904761904763,4,40,60,SSP-NPM-II
ins185_m=4_j=40_t=60_sw=l_dens=d_var=5,6.037210941314697,587.0,519.0,68.0,11.584327086882453,4,40,60,SSP-NPM-II
ins186_m=4_j=40_t=60_sw=l_dens=d_var=6,6.024413585662842,526.0,478.0,48.0,9.125475285171103,4,40,60,SSP-NPM-II
ins187_m=4_j=40_t=60_sw=l_dens=d_var=7,5.968506336212158,501.0,449.0,52.0,10.379241516966067,4,40,60,SSP-NPM-II
ins188_m=4_j=40_t=60_sw=l_dens=d_var=8,5.931807041168213,497.0,461.0,36.0,7.2434607645875255,4,40,60,SSP-NPM-II
ins189_m=4_j=40_t=60_sw=l_dens=d_var=9,5.962899684906006,516.0,463.0,53.0,10.271317829457365,4,40,60,SSP-NPM-II
ins190_m=4_j=40_t=60_sw=l_dens=d_var=10,5.826496839523315,524.0,446.0,78.0,14.885496183206106,4,40,60,SSP-NPM-II
ins191_m=4_j=40_t=60_sw=l_dens=d_var=11,5.937480211257935,564.0,520.0,44.0,7.801418439716312,4,40,60,SSP-NPM-II
ins192_m=4_j=40_t=60_sw=l_dens=d_var=12,5.950528860092163,515.0,445.0,70.0,13.592233009708737,4,40,60,SSP-NPM-II
ins193_m=4_j=40_t=60_sw=l_dens=d_var=13,5.9400951862335205,481.0,412.0,69.0,14.345114345114347,4,40,60,SSP-NPM-II
ins194_m=4_j=40_t=60_sw=l_dens=d_var=14,5.976963996887207,680.0,604.0,76.0,11.176470588235295,4,40,60,SSP-NPM-II
ins195_m=4_j=40_t=60_sw=l_dens=d_var=15,6.002189636230469,476.0,406.0,70.0,14.705882352941178,4,40,60,SSP-NPM-II
ins196_m=4_j=40_t=60_sw=l_dens=d_var=16,5.94220757484436,528.0,434.0,94.0,17.803030303030305,4,40,60,SSP-NPM-II
ins197_m=4_j=40_t=60_sw=l_dens=d_var=17,5.996171236038208,467.0,399.0,68.0,14.5610278372591,4,40,60,SSP-NPM-II
ins198_m=4_j=40_t=60_sw=l_dens=d_var=18,5.916794061660767,500.0,417.0,83.0,16.6,4,40,60,SSP-NPM-II
ins199_m=4_j=40_t=60_sw=l_dens=d_var=19,5.91255259513855,610.0,523.0,87.0,14.262295081967213,4,40,60,SSP-NPM-II
ins200_m=4_j=40_t=60_sw=l_dens=d_var=20,6.035718679428101,501.0,466.0,35.0,6.986027944111776,4,40,60,SSP-NPM-II
ins201_m=4_j=40_t=60_sw=h_dens=s_var=1,5.8773016929626465,315.0,291.0,24.0,7.6190476190476195,4,40,60,SSP-NPM-II
ins202_m=4_j=40_t=60_sw=h_dens=s_var=2,5.835858345031738,235.0,198.0,37.0,15.74468085106383,4,40,60,SSP-NPM-II
ins203_m=4_j=40_t=60_sw=h_dens=s_var=3,5.8194968700408936,276.0,225.0,51.0,18.478260869565215,4,40,60,SSP-NPM-II
