instance,generation,min,avg,max,std,execution_time,best_makespan
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,0,239.0,299.08,373.0,31.451448297336007,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,1,210.0,271.83,334.0,22.14093719786947,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,2,210.0,253.88,291.0,13.541255480936766,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,3,210.0,245.81,265.0,9.34847046312925,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,4,210.0,237.16,261.0,10.69927100320391,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,5,210.0,228.36,245.0,10.014509473758562,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,6,204.0,219.66,241.0,10.03216826015194,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,7,186.0,212.31,241.0,7.575876186950259,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,8,186.0,208.23,222.0,4.745218646174273,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,9,186.0,206.24,223.0,5.390955388426063,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,10,186.0,202.77,222.0,6.687084566535704,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,11,186.0,198.97,222.0,8.14303997288482,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,12,186.0,191.82,204.0,7.206080765575695,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,13,186.0,188.34,215.0,5.718776092836649,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,14,185.0,187.33,216.0,5.284042013459015,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,15,184.0,187.47,227.0,5.857397032812441,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,16,184.0,186.87,210.0,4.353515820575365,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,17,184.0,186.65,216.0,4.7799058568134996,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,18,174.0,185.51,209.0,3.39262435291619,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,19,174.0,185.05,204.0,3.5619517121937516,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,20,174.0,185.41,210.0,5.475573029373273,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,21,174.0,183.5,204.0,4.201190307520001,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,22,174.0,182.34,204.0,4.195759764333511,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,23,174.0,180.22,210.0,6.500123075757874,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,24,174.0,177.67,210.0,5.442526986612009,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,25,174.0,175.7,204.0,5.179768334587947,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,26,174.0,174.9,210.0,4.394314508543966,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,27,174.0,176.01,204.0,6.1065456683791375,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,28,174.0,175.6,210.0,6.059702963017246,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,29,174.0,174.72,196.0,3.206493411812972,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,30,174.0,174.82,210.0,4.39176502103653,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,31,174.0,174.62,186.0,2.556481957691077,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,32,174.0,174.62,204.0,3.366838279454479,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,33,174.0,175.26,204.0,5.064819838849156,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,34,174.0,175.32,210.0,5.622952960856067,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,35,174.0,175.06,196.0,4.142028488554852,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,36,174.0,175.86,204.0,6.120490176448288,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,37,174.0,175.24,204.0,5.097293399442492,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,38,174.0,175.12,198.0,3.9931942101530704,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,39,174.0,174.88,208.0,4.684613111026352,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,40,174.0,175.1,204.0,4.9183330509431755,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,41,174.0,174.34,204.0,3.0073908957766027,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,42,174.0,175.06,198.0,4.502932377906646,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,43,174.0,174.98,204.0,4.3771680342431445,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,44,174.0,176.16,210.0,6.265333191459175,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,45,174.0,175.02,204.0,5.09505642755799,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,46,174.0,174.98,210.0,5.134160106580237,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,47,174.0,174.7,204.0,3.670149860700514,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,48,174.0,174.98,208.0,4.56504107319967,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,49,174.0,174.44,190.0,2.2729716232280595,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,50,174.0,174.1,184.0,0.9949874371066202,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,51,174.0,174.48,186.0,2.1376622745419818,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,52,174.0,174.88,210.0,4.226771817829773,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,53,174.0,175.18,204.0,4.605171006596825,,
ins210_m=4_j=40_t=60_sw=h_dens=s_var=10,54,174.0,174.82,198.0,3.6121461764441376,,
