instance,generation,min,avg,max,std,execution_time,best_makespan
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,0,306.0,365.63,424.0,23.201575377547105,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,1,306.0,348.39,393.0,17.022864036348288,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,2,306.0,333.65,363.0,13.150190112694188,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,3,306.0,322.15,342.0,9.783021005803883,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,4,306.0,313.74,335.0,5.019203124002852,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,5,306.0,311.02,332.0,3.8677642120480917,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,6,306.0,309.01,318.0,3.054488500551279,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,7,306.0,307.45,330.0,3.57036412708844,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,8,302.0,307.36,330.0,4.8322251603169315,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,9,302.0,306.64,330.0,3.6538199189341554,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,10,302.0,306.18,330.0,3.5450810992133883,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,11,300.0,305.42,322.0,3.93237841515793,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,12,300.0,304.16,330.0,4.747041183726976,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,13,300.0,302.86,326.0,4.042326063048353,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,14,298.0,301.78,318.0,2.1706220306631003,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,15,298.0,300.9,322.0,2.5514701644346145,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,16,298.0,300.7,338.0,4.950757517794625,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,17,298.0,299.82,334.0,5.419188131076463,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,18,298.0,298.98,322.0,3.7255335188399528,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,19,298.0,298.99,326.0,4.077977439859127,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,20,298.0,298.99,322.0,3.8845720485016098,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,21,298.0,298.64,334.0,3.9077359173823396,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,22,298.0,298.41,308.0,1.7093566041057675,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,23,298.0,298.96,330.0,4.935422980859899,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,24,298.0,298.76,326.0,3.8239246854508004,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,25,298.0,298.52,318.0,2.7512906062428235,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,26,298.0,298.48,326.0,3.0082553083141073,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,27,298.0,298.52,322.0,3.080519436718425,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,28,298.0,298.89,322.0,3.6630451812665368,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,29,298.0,298.39,318.0,2.353274314651822,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,30,298.0,298.56,326.0,3.6669333236370676,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,31,298.0,299.56,338.0,6.194061672279344,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,32,298.0,298.2,310.0,1.3114877048604,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,33,298.0,298.74,322.0,3.551394092465661,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,34,298.0,299.08,322.0,4.484818836920841,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,35,298.0,299.02,326.0,4.41130366218423,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,36,298.0,298.08,302.0,0.5599999999999999,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,37,294.0,298.69,326.0,3.4603323539798887,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,38,294.0,298.84,322.0,3.764890436652839,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,39,294.0,298.64,322.0,3.4278856457005675,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,40,294.0,298.36,318.0,3.051294807126967,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,41,294.0,298.98,334.0,5.3385016624517405,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,42,294.0,297.68,322.0,3.1839597987411836,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,43,294.0,297.39,326.0,5.392392789847564,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,44,294.0,296.02,326.0,4.90097949393792,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,45,294.0,294.56,318.0,2.8295582694123818,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,46,294.0,294.67,322.0,3.616780336155349,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,47,294.0,294.88,338.0,5.293921042101022,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,48,294.0,295.17,326.0,5.14792191082965,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,49,294.0,295.57,322.0,5.632503883709268,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,50,290.0,295.66,338.0,6.973119818273598,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,51,290.0,294.92,334.0,5.362238338604504,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,52,290.0,294.71,318.0,3.7823141064697414,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,53,290.0,293.98,326.0,4.110912307505475,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,54,290.0,293.92,338.0,6.514107766993114,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,55,290.0,291.81,322.0,4.3627858072566434,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,56,290.0,291.71,330.0,6.425410492723405,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,57,290.0,290.5,305.0,2.3,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,58,290.0,290.82,322.0,4.362063731767338,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,59,290.0,291.18,330.0,5.584585929144613,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,60,290.0,291.3,326.0,5.5,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,61,290.0,290.63,321.0,3.6569249377038076,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,62,290.0,290.27,306.0,1.771186043305446,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,63,290.0,291.42,330.0,6.356382619068805,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,64,290.0,292.35,334.0,7.995467466008475,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,65,290.0,290.69,318.0,3.7354919354751654,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,66,290.0,290.28,297.0,1.1838918869558994,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,67,290.0,291.5,338.0,6.658077800686922,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,68,290.0,291.02,330.0,5.315975921691143,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,69,290.0,290.53,326.0,3.75087989677089,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,70,290.0,290.55,318.0,3.386369737639409,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,71,290.0,290.64,314.0,3.1353468707624677,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,72,290.0,290.35,306.0,2.031624965391004,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,73,290.0,292.08,330.0,7.1297685796945744,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,74,290.0,291.47,330.0,6.033995359626986,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,75,290.0,291.03,334.0,5.8642220285388245,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,76,290.0,290.59,318.0,3.4845229228690684,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,77,290.0,291.0,318.0,4.054626986542659,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,78,290.0,290.87,330.0,4.601423692728154,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,79,289.0,291.04,330.0,4.931368978285846,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,80,289.0,291.34,322.0,5.217700643003583,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,81,289.0,290.67,310.0,3.0134863530469156,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,82,286.0,290.82,334.0,5.406255635835213,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,83,286.0,290.93,338.0,7.071428427128424,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,84,286.0,290.63,322.0,6.7002313392897115,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,85,286.0,289.27,326.0,6.151186877343266,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,86,286.0,288.19,334.0,6.441575894142675,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,87,286.0,286.6,298.0,2.190890230020664,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,88,286.0,287.36,342.0,8.024362903059657,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,89,286.0,287.8,338.0,7.4993333037010705,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,90,286.0,287.4,326.0,6.203224967708331,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,91,286.0,286.24,310.0,2.387969849055887,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,92,286.0,286.47,322.0,3.734849394553949,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,93,286.0,286.86,330.0,5.169177884344859,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,94,286.0,287.0,313.0,3.9899874686520005,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,95,286.0,287.39,326.0,5.384969823499479,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,96,286.0,287.4,318.0,5.059644256269408,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,97,286.0,287.2,326.0,5.230678732248808,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,98,286.0,286.28,302.0,1.8115186998758803,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,99,286.0,287.19,330.0,5.792572830789441,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,100,286.0,287.45,338.0,6.58540051933062,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,101,286.0,288.28,326.0,7.823145147573321,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,102,286.0,287.02,342.0,6.307107102309267,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,103,286.0,286.57,314.0,3.0765402646479365,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,104,286.0,286.55,318.0,3.5478866949213583,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,105,286.0,288.06,334.0,7.859796435022981,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,106,286.0,287.79,338.0,7.689336772440129,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,107,286.0,287.2,326.0,5.047771785649587,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,108,286.0,287.5,326.0,6.274551776820397,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,109,286.0,288.15,330.0,7.654247187019766,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,110,286.0,287.08,322.0,5.480291963025328,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,111,286.0,288.54,338.0,9.820814630161799,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,112,286.0,287.03,326.0,5.002909153682485,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,113,286.0,286.82,306.0,3.380473339637512,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,114,286.0,286.86,326.0,4.604389210307921,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,115,286.0,286.42,298.0,2.0793268141396144,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,116,286.0,287.32,326.0,5.773872184245163,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,117,286.0,288.48,326.0,8.095035515672553,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,118,286.0,287.19,330.0,5.6880488746142115,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,119,286.0,288.38,342.0,8.932838294741485,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,120,286.0,286.24,310.0,2.387969849055887,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,121,286.0,288.05,342.0,8.14294172888398,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,122,286.0,287.35,342.0,7.257237766533492,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,123,286.0,287.7,330.0,5.88302643203309,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,124,286.0,288.08,338.0,7.956984353384138,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,125,286.0,286.63,318.0,3.817472986151965,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,126,286.0,287.0,318.0,4.261455150532504,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,127,286.0,286.46,310.0,2.5861941149109438,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,128,286.0,286.93,326.0,5.385638309429997,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,129,286.0,287.06,321.0,5.005636822623071,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,130,286.0,286.07,290.0,0.49507575177946256,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,131,286.0,287.23,338.0,6.48822780117961,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,132,286.0,287.09,326.0,5.0795570673041945,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,133,286.0,287.22,326.0,5.6188610945635595,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,134,286.0,287.24,326.0,5.471964912168206,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,135,286.0,287.53,334.0,6.548977019351953,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,136,282.0,287.06,318.0,4.785018286276449,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,137,282.0,287.55,330.0,6.453487429289687,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,138,282.0,287.14,314.0,5.447972099781715,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,139,282.0,285.82,306.0,3.80362984529252,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,140,282.0,284.91,306.0,4.4521792416748,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,141,281.0,283.41,322.0,5.083492893670649,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,142,281.0,283.64,322.0,6.6955507615132,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,143,281.0,282.55,302.0,2.9167619032070475,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,144,278.0,282.53,302.0,3.7562081944429018,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,145,278.0,281.56,298.0,2.9404761519182565,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,146,278.0,281.43,313.0,5.138589300576571,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,147,278.0,279.93,310.0,4.389202661076383,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,148,278.0,279.75,310.0,5.2789677021175265,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,149,278.0,278.26,290.0,1.5337535656030277,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,150,278.0,279.86,334.0,7.924670340146649,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,151,278.0,279.09,306.0,4.054861279994668,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,152,278.0,279.97,326.0,7.477238795170313,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,153,278.0,279.38,326.0,6.66,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,154,278.0,279.04,334.0,5.919324285761002,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,155,278.0,279.04,306.0,4.372459262245905,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,156,278.0,279.34,334.0,6.310657651940882,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,157,278.0,279.95,318.0,6.46587194429336,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,158,278.0,279.78,310.0,5.622419408048461,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,159,278.0,279.26,310.0,5.117851111550627,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,160,278.0,279.16,314.0,4.9934356909847155,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,161,278.0,280.05,326.0,8.327514635231811,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,162,278.0,279.18,314.0,5.297886370997401,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,163,278.0,278.95,306.0,4.013415004706093,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,164,278.0,278.82,294.0,3.2229799875270704,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,165,278.0,278.78,314.0,4.451022354470935,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,166,278.0,279.72,314.0,5.779411734770243,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,167,278.0,278.69,302.0,3.2052924983533098,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,168,278.0,278.83,310.0,4.1618625638048155,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,169,278.0,279.24,314.0,5.014219779786283,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,170,278.0,279.9,318.0,6.809552114493286,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,171,278.0,278.88,306.0,4.062708456190279,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,172,278.0,280.12,334.0,7.680208330507707,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,173,278.0,279.85,326.0,7.922594272080326,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,174,278.0,279.04,301.0,4.185498775534404,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,175,278.0,279.39,306.0,5.047563768789851,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,176,278.0,279.1,326.0,5.933801479658719,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,177,278.0,279.3,322.0,5.629387178015029,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,178,278.0,278.75,318.0,4.238808794932841,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,179,278.0,278.64,314.0,4.5155730533344265,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,180,278.0,279.97,318.0,6.386634481477706,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,181,278.0,278.44,298.0,2.5858074174230374,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,182,278.0,279.43,306.0,4.534875963022582,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,183,278.0,278.44,310.0,3.2933873139975502,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,184,278.0,279.07,326.0,5.461236123809331,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,185,278.0,278.97,318.0,4.539724661254248,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,186,278.0,279.11,318.0,4.965672159939679,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,187,278.0,279.57,322.0,6.309128307460547,,
ins242_m=4_j=60_t=60_sw=l_dens=s_var=2,188,278.0,279.34,306.0,4.994436905197621,,
