instance,generation,min,avg,max,std,execution_time,best_makespan
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,0,770.0,850.66,997.0,39.55963093862227,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,1,769.0,821.51,878.0,22.98107699826098,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,2,761.0,802.09,835.0,18.415805711399106,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,3,754.0,787.01,824.0,15.087408657552828,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,4,754.0,775.3,832.0,12.41007655093231,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,5,748.0,766.22,794.0,7.8301724118949005,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,6,745.0,761.13,809.0,8.140829196095444,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,7,722.0,755.48,773.0,6.516870414547156,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,8,733.0,752.03,786.0,7.715510352530155,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,9,733.0,746.42,760.0,7.256969064285723,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,10,733.0,739.97,777.0,7.693445262039629,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,11,727.0,736.21,761.0,6.7086436781215335,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,12,727.0,734.23,765.0,5.870017035750409,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,13,722.0,733.08,773.0,6.3587420139521305,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,14,721.0,731.99,769.0,6.671574027169299,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,15,721.0,729.71,773.0,8.213762840501301,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,16,713.0,725.81,757.0,6.069093836809578,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,17,713.0,723.17,773.0,6.732094770574757,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,18,713.0,721.35,757.0,5.726037023980896,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,19,713.0,720.63,745.0,5.773482484601472,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,20,710.0,719.59,761.0,8.170795554901613,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,21,710.0,715.91,761.0,7.095202604577266,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,22,709.0,713.04,729.0,2.580387567788994,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,23,709.0,712.34,745.0,4.398226915474009,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,24,709.0,711.42,753.0,5.882482469162149,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,25,709.0,710.91,757.0,6.764754245351415,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,26,709.0,710.52,761.0,6.913002242152103,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,27,709.0,710.3,769.0,7.185401867675879,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,28,709.0,711.12,765.0,8.303348722051844,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,29,709.0,711.0,753.0,7.33621155638249,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,30,705.0,711.3,765.0,9.01720577562695,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,31,705.0,710.46,761.0,8.264889593938928,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,32,705.0,709.36,735.0,4.053442980973088,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,33,705.0,708.28,737.0,3.364758535170094,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,34,705.0,707.65,737.0,4.684815898197069,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,35,697.0,705.4,711.0,1.5748015748023623,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,36,697.0,704.96,719.0,2.0195048898182937,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,37,697.0,707.4,769.0,11.091438139393826,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,38,697.0,705.92,739.0,8.180073349304395,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,39,697.0,705.3,745.0,10.507616285342742,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,40,697.0,701.24,761.0,9.782760346650633,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,41,697.0,697.53,723.0,3.1700315455843655,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,42,697.0,698.08,741.0,5.987787571382271,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,43,697.0,699.92,777.0,11.788706459998062,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,44,697.0,698.79,749.0,7.491722098423033,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,45,697.0,699.3,725.0,6.882586723027905,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,46,697.0,699.28,745.0,9.278017029516596,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,47,697.0,698.51,745.0,7.250510326866654,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,48,697.0,699.3,747.0,8.887631855561976,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,49,697.0,699.06,757.0,8.982004230682595,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,50,697.0,699.09,741.0,8.378657410349225,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,51,697.0,699.22,741.0,8.084033646639526,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,52,697.0,698.48,745.0,7.040568158891723,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,53,695.0,698.5,733.0,5.833523806414096,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,54,693.0,698.93,733.0,7.416542321055007,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,55,693.0,698.23,725.0,5.746050817735605,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,56,693.0,698.71,749.0,10.29980096895081,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,57,693.0,696.26,737.0,7.290569250751275,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,58,693.0,694.21,733.0,4.978543963851279,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,59,693.0,695.76,773.0,12.177947281869798,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,60,685.0,694.86,737.0,7.537930750544211,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,61,685.0,694.23,737.0,6.51591129466938,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,62,685.0,692.61,717.0,3.679388536156518,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,63,685.0,693.19,745.0,8.222767174133049,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,64,685.0,692.33,765.0,10.080729140295357,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,65,685.0,690.77,749.0,10.58759179417114,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,66,685.0,686.89,745.0,7.661455475299717,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,67,685.0,685.83,711.0,3.949822780834604,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,68,685.0,686.04,725.0,5.976487262598324,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,69,685.0,687.21,737.0,8.144071463340682,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,70,685.0,687.02,729.0,8.180440085961145,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,71,681.0,685.72,717.0,4.044947465666272,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,72,681.0,685.98,737.0,6.791141288472799,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,73,681.0,686.37,737.0,8.254277678876573,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,74,681.0,685.64,741.0,8.907884148326133,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,75,681.0,683.94,725.0,7.146775496683802,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,76,681.0,683.73,741.0,9.919531238924549,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,77,681.0,682.35,737.0,7.2379209722129465,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,78,681.0,683.85,741.0,9.968324834193554,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,79,681.0,682.9,713.0,6.866585760041156,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,80,681.0,683.64,749.0,9.67007755915122,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,81,681.0,682.42,721.0,5.770927135218396,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,82,681.0,682.34,733.0,7.429966352548308,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,83,681.0,681.86,737.0,6.204869055830267,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,84,681.0,682.29,731.0,6.022117567766342,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,85,681.0,681.28,697.0,1.8765926569183842,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,86,681.0,682.14,737.0,6.326167876368757,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,87,681.0,682.36,729.0,6.863701625216528,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,88,681.0,683.32,749.0,10.634735539730173,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,89,681.0,682.78,745.0,8.570390889568573,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,90,681.0,683.22,741.0,8.685136728917973,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,91,681.0,682.92,737.0,7.888827542797471,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,92,681.0,683.44,745.0,10.003319449062896,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,93,681.0,683.5,749.0,9.969453345093703,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,94,681.0,682.7,745.0,8.334866525625952,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,95,681.0,684.52,745.0,12.205310319692819,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,96,681.0,682.44,729.0,6.870691377146844,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,97,677.0,683.57,741.0,9.378971158927827,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,98,677.0,683.23,745.0,9.083892337539016,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,99,677.0,684.14,745.0,11.808488472281283,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,100,677.0,682.0,733.0,6.860029154456998,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,101,677.0,683.16,729.0,10.250580471368437,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,102,677.0,680.39,741.0,9.076227189752357,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,103,677.0,679.96,741.0,11.247150750301163,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,104,677.0,678.33,741.0,7.042804838982832,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,105,677.0,679.92,737.0,10.30890876863308,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,106,677.0,678.72,709.0,6.6993731050002,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,107,677.0,677.74,699.0,3.378224385679554,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,108,677.0,679.11,769.0,10.950703173769254,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,109,677.0,680.14,737.0,9.855982954530715,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,110,677.0,678.49,725.0,6.936130044916979,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,111,677.0,677.3,689.0,1.5842979517754863,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,112,673.0,678.32,729.0,7.049652473703934,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,113,673.0,679.4,737.0,10.647065323364934,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,114,673.0,679.23,717.0,8.623056302727006,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,115,673.0,678.36,733.0,7.807073715547972,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,116,673.0,677.7,721.0,6.953416426476987,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,117,673.0,676.79,729.0,8.099746909626251,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,118,673.0,674.89,741.0,7.95222610342538,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,119,673.0,675.28,725.0,9.478480890944496,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,120,673.0,675.7,725.0,10.46661358797582,,
ins272_m=4_j=60_t=60_sw=l_dens=d_var=12,121,673.0,674.9,725.0,7.209022125087424,,
