instance,generation,min,avg,max,std,execution_time,best_makespan
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,0,1306.0,1514.45,1761.0,98.5544900042611,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,1,1306.0,1415.83,1611.0,70.50759604468159,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,2,1298.0,1358.88,1503.0,39.80057286019888,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,3,1294.0,1328.43,1396.0,21.714628709697067,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,4,1294.0,1313.91,1361.0,14.91113342439132,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,5,1294.0,1305.29,1361.0,11.051058772805437,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,6,1291.0,1303.17,1396.0,15.999409364098415,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,7,1291.0,1300.25,1364.0,11.157396649756608,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,8,1282.0,1297.13,1354.0,8.62282436328144,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,9,1276.0,1293.41,1333.0,6.4297667142750985,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,10,1249.0,1291.15,1361.0,13.669948792881412,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,11,1249.0,1288.32,1354.0,15.978034922980985,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,12,1249.0,1282.5,1336.0,13.894963116179905,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,13,1249.0,1274.72,1354.0,15.33237098429333,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,14,1249.0,1269.32,1354.0,22.690033054184827,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,15,1243.0,1255.62,1298.0,11.59032355027244,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,16,1243.0,1251.55,1327.0,13.482117786164013,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,17,1243.0,1249.51,1312.0,10.499995238094158,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,18,1243.0,1248.37,1333.0,13.561456411462594,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,19,1235.0,1246.63,1305.0,12.657531354889072,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,20,1237.0,1246.46,1333.0,13.154025999670216,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,21,1237.0,1245.18,1297.0,9.094371885952322,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,22,1235.0,1248.78,1361.0,21.50096742009531,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,23,1235.0,1244.99,1333.0,15.282339480590005,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,24,1228.0,1241.49,1298.0,10.445568438337856,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,25,1228.0,1237.98,1291.0,8.763538098279712,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,26,1228.0,1237.84,1285.0,9.853649070268334,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,27,1228.0,1237.87,1319.0,15.323612498363431,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,28,1219.0,1234.44,1312.0,12.643037609688578,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,29,1219.0,1232.42,1340.0,13.98798055474771,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,30,1219.0,1232.94,1368.0,19.783235326912532,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,31,1213.0,1229.74,1319.0,15.444494164588235,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,32,1219.0,1225.96,1333.0,14.037036724323265,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,33,1219.0,1224.2,1319.0,16.357261384473873,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,34,1219.0,1222.46,1333.0,15.2081688575581,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,35,1207.0,1222.76,1279.0,12.501295932822325,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,36,1207.0,1222.33,1333.0,18.08040652197842,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,37,1207.0,1222.75,1297.0,18.846418757949746,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,38,1207.0,1219.3,1326.0,19.575239462136853,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,39,1207.0,1215.09,1354.0,19.090885259725386,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,40,1201.0,1210.82,1291.0,14.158658128509211,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,41,1201.0,1209.47,1305.0,11.824089816979571,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,42,1201.0,1209.01,1261.0,8.633070137558251,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,43,1201.0,1211.09,1298.0,15.539044372161372,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,44,1201.0,1210.12,1326.0,15.892312607043696,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,45,1201.0,1209.1,1312.0,14.687749997872375,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,46,1200.0,1205.61,1256.0,8.576590231554729,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,47,1200.0,1205.6,1263.0,12.542726976220123,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,48,1200.0,1204.86,1319.0,16.57408821021537,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,49,1200.0,1205.26,1312.0,17.974771208557843,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,50,1200.0,1203.09,1256.0,8.568658004611924,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,51,1200.0,1203.76,1277.0,12.98007704137383,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,52,1200.0,1204.35,1277.0,13.822716809657933,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,53,1200.0,1201.74,1242.0,6.8580172061609765,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,54,1200.0,1203.23,1255.0,10.50129039689885,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,55,1200.0,1203.13,1291.0,12.820807306874242,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,56,1200.0,1205.8,1312.0,20.391174561559716,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,57,1200.0,1204.5,1312.0,16.528460303367645,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,58,1200.0,1202.05,1243.0,7.412658092749186,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,59,1200.0,1203.38,1263.0,11.932962750298016,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,60,1200.0,1204.69,1277.0,15.87053559272654,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,61,1200.0,1202.54,1263.0,9.44819559492711,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,62,1200.0,1204.85,1319.0,19.221537399490188,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,63,1200.0,1202.85,1267.0,11.398574472275032,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,64,1200.0,1204.18,1291.0,15.648245908088226,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,65,1200.0,1202.35,1277.0,11.011244253035164,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,66,1200.0,1203.27,1279.0,13.180178299249215,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,67,1200.0,1203.99,1284.0,12.93251329015362,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,68,1200.0,1200.81,1249.0,5.195565416776115,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,69,1200.0,1203.69,1291.0,16.017300022163536,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,70,1200.0,1203.59,1284.0,14.287823487151568,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,71,1200.0,1203.5,1291.0,13.660527076214885,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,72,1200.0,1203.7,1319.0,15.877972162716498,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,73,1200.0,1202.95,1298.0,12.765089110538945,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,74,1200.0,1205.85,1284.0,16.388029167657717,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,75,1200.0,1205.32,1298.0,17.499074261228795,,
ins302_m=4_j=60_t=60_sw=h_dens=d_var=2,76,1200.0,1205.62,1305.0,17.802123468844947,,
